"","GSM4008561","GSM4008562","GSM4008563","GSM4008564","GSM4008565","GSM4008566","GSM4008567","GSM4008568","GSM4008569","GSM4008570","GSM4008571","GSM4008572","GSM4008573","GSM4008574","GSM4008575","GSM4008576","GSM4008577","GSM4008578","GSM4008579","GSM4008580","GSM4008581","GSM4008582","GSM4008583","GSM4008584","GSM4008585","GSM4008586","GSM4008587","GSM4008588","GSM4008590","GSM4008591","GSM4008592","GSM4008593","GSM4008594","GSM4008595","GSM4008596","GSM4008597","GSM4008598","GSM4008599","GSM4008600","GSM4008601","GSM4008602","GSM4008603","GSM4008604","GSM4008605","GSM4008606","GSM4008607","GSM4008608","GSM4008609","GSM4008610","GSM4008611","GSM4008612","GSM4008613","GSM4008614","GSM4008615","GSM4008616","GSM4008617","GSM4008618"
"ACTA1",27507.7873278621,19990.2702547165,22548.3539243923,22040.7791800204,20809.5087263776,17130.9262243632,21685.6328495535,20462.0103082442,18781.2994805289,18451.2673727075,13598.7343627412,22493.7234514535,19096.5163457708,18854.7828540035,22871.9356306275,17286.4724968095,16945.6411352368,21662.031271797,17068.7108659194,22207.9913251076,25240.9053323627,31845.9869503423,24873.939502117,19628.2402137226,19394.0423668684,22795.5471146616,19471.884438811,27388.2471005758,22928.5770536866,18200.4442304123,26861.8489996199,28463.6482677643,18499.508501426,14466.2720657891,22052.6676150146,24824.4673807832,23859.2646840482,21016.9694097564,19256.6438810552,23111.0653257921,23326.963726321,22368.3847549502,25278.6662803965,19701.1701319783,17625.853257103,16187.8321561274,14318.171821165,21445.0220239225,16379.3037217443,30197.3331447117,25101.8996624265,20412.0694246224,20617.828384644,21279.1314727684,18877.6438665268,28756.7643813478,30218.0413967508
"MT-RNR2",-17423.9306066039,30693.5802986806,1577.38353187287,-7065.92858054104,10617.533796221,21581.6603645166,18089.0251997219,10648.5149094517,8262.26044346344,-15594.5154913117,16982.4378401627,28797.7509353136,-576.964266810264,-2388.90784794548,-18704.991185737,-2617.28360322527,-3463.28004298796,21074.5785563808,-11152.3300833872,9096.83159695491,-7511.62089304641,44299.3739800367,19204.6051679466,-3477.36827216928,6627.21684627735,38901.7160775483,20264.2750587338,18190.9611601721,2584.72149053618,33621.4640290734,18461.6665578369,-539.98413898221,29843.0668885099,65860.9906742481,41033.7860466125,50401.3134742331,28592.6390619893,10178.0825779859,39151.5489326666,52105.635028065,28083.7622740124,32666.0978154549,6788.93036057916,10697.947708038,10762.8681156938,29393.991277075,25539.1126438569,29413.6533910261,14076.0643440347,41757.2692035239,50400.2270420892,28269.7670608028,40763.3345429889,57025.5566772252,34783.9732743924,58039.271547025,21615.6291767239
"MT-CO1",17330.4247854146,24353.3889345326,21226.7757761166,19983.5796410489,29712.7956928909,25643.1271729084,27804.4459709877,17379.8857308907,18024.2726927708,23321.1066227723,21975.0277358251,26105.0017508404,13721.9614021668,18051.5962537648,16000.7751004192,18019.4690540859,22996.1626555821,28567.1506882284,18685.7662678481,19569.6816812362,15871.1406020292,28788.5843027992,22791.9173418462,14728.0558108319,20112.3095966137,21289.2370309405,21286.630992504,17637.5050338017,13335.8432597848,17369.4217269039,19720.1087049426,16987.5752579438,19580.1815478892,27280.0145037751,25526.5746704838,17537.9874192418,13296.2565714588,16078.1593150111,18796.9991033607,22708.1953517271,12979.3060504357,16912.8608380929,16972.56264049,18489.3410637191,15273.9611991204,14175.9282060833,19329.3383445888,19854.9214108166,9849.85374523241,20274.354214559,23044.581584339,13250.4875148729,19920.2257979619,20318.5213945042,20885.850892343,16195.7458641068,15821.1397202218
"MT-CO3",15322.5286160952,40110.5613952707,16584.191600503,15765.8616353068,19286.2197390652,23711.1426638522,19459.9315243742,14057.3682590242,14587.7789135087,19385.0978500978,17650.2368725462,19974.2994018765,12996.7237133804,15408.6293223079,16679.7554147408,18759.5479273672,18089.5927351192,21864.6356392626,16705.737925836,19018.0694214201,12471.4841515939,20765.1822514551,17503.6960113207,16050.6576157708,15681.6374520983,15964.7715489496,18609.9042524669,18187.6691022811,12625.7591628259,18827.3000531944,15365.8969841615,12964.1283892451,14531.3964049063,23230.3138954623,18730.2400709109,13991.0728462328,14385.0149458967,15052.5175576116,15971.4869464702,18987.4421594353,13263.9397140546,13381.9776197741,18388.7459353002,17681.4954300436,13430.9345237073,12749.9884910572,15964.9388418443,20189.3025960779,9832.07886958654,14826.0768823077,16403.6302672457,13735.9303565809,16054.8667729103,15500.447981216,16531.0586810892,16034.2155445849,13539.103715463
"MT-ATP6",10391.5093636964,31453.2284212136,16875.6855671832,15177.6389478459,19461.3182787419,22300.6360641363,21269.7059916642,12817.5124171333,15339.1385818419,15508.7831388064,14207.7843346558,13303.1433103524,11250.841515325,15231.9474713389,18336.5037367662,17484.4951365257,21560.2026988846,23274.1368171692,18746.7560427798,10171.0898500756,9747.39122855497,19062.2232877705,17776.1509375465,13400.7489705042,17982.7176184696,16487.0265852793,19505.2053862017,13283.0363783622,8055.15466805183,16694.7064963334,14050.4957954359,13361.9193452687,13612.4606907898,21550.462979924,21583.734793839,11975.8418449213,12079.4139170833,11137.8841240233,13822.4858888117,14687.6447779428,12054.7206437618,13821.1808668034,20861.7572791498,16426.2992710508,12617.8857038436,14450.7373717401,18983.1610363869,10355.0708901656,6733.41101394115,11676.9625581182,17690.2091741658,11498.9416763384,19085.2154457942,14161.1725245395,17043.8041241936,12274.9108401024,16460.3028137741
"RN7SL2",1253.69465219515,743.470638834038,106.117094309728,-325.529521793864,651.485334812918,86.4518471828796,-173.766416985618,-465.815753415069,1313.83482591836,-83.0295747802538,-830.874639379143,-31.7460724433404,-371.310275932754,513.495213172742,-200.771905872323,-474.358714300981,379.701091131188,-87.4393646785156,773.276813087301,2430.49162350143,643.964609487492,926.560564933632,433.876439797401,-604.876664912137,50.8824184937494,-750.355178393153,-326.425018744603,-41.721006595626,534.629417017177,805.599159668696,-323.232979257858,-518.217410379413,-524.764670719103,508.664331000025,305.120285626015,-420.175687783831,-269.584266281969,-610.255161691688,-624.709743371808,-716.115315578871,-543.559941639294,1919.22450380236,132.412327916689,527.797102944553,-513.859959633748,197.88309295513,1803.09992834144,1880.79372391008,-202.57090204067,-550.480713205534,-644.596999343012,-171.10847476277,-667.360962219005,-690.339364227462,-693.367681653253,-616.454647826273,-4.38286058717313
"MT-CO2",13566.5779332298,29756.4000204042,12568.9805085395,14367.569087989,18650.6348907703,17565.9782104699,18052.3945724745,14391.5999338422,12693.5656447479,15500.4084455993,13428.4342905066,16280.8992037601,14755.7596666461,15226.9296511574,16021.2288221538,13553.7036997762,14958.6592585644,19426.1889714113,15910.7039914188,16397.7768576489,7432.81572920009,18914.5735430006,16401.0494634382,13982.0580796192,16636.901222354,18687.0857716454,17703.723190402,14088.5268628928,8989.0222142083,14294.4848531517,11008.9827594594,10957.7525902743,12340.6775601352,17187.5657817367,15975.0949944397,12916.7335763799,11333.6342041752,10710.5954655351,11664.1098953779,13797.8976292597,12134.0868659143,10931.0134162015,16863.1037520632,14136.5389687705,9566.71552447528,8546.65909697568,13109.4385041164,17215.7954806941,4709.92320663097,12344.473783907,14937.6253266147,11618.2785352269,14756.108744624,17058.1768562825,15104.1930410063,14023.6598444474,14382.5278729569
"MT-ND4",8910.89444578123,31197.544732997,14701.6544192146,12604.3662835703,15987.6513843675,16527.3873050102,18697.4206025459,11596.6377730092,10774.1323613262,16112.3933249892,12787.4107660472,10360.8484381887,8918.69815700695,14003.6608633014,15054.5542504523,12726.5892736406,15189.2545518358,19556.6317377927,14630.7930779681,13661.9321301981,7012.60454123853,13765.8513917262,14863.773164218,11441.3952089054,13587.9047269019,14382.5099525054,17260.3753287081,12714.7446968973,6232.64805120363,9965.82030986286,13337.9462953446,11275.4093609187,11188.8914645948,15835.4095108203,16678.1647848041,11159.3603131463,7697.30110947413,11205.7727423184,10346.1313962563,12047.640033574,10078.443249391,14256.7302334865,16492.3784578425,12831.5007763991,8507.67553601731,12114.043480202,15496.5903914859,11698.4311462213,2993.92933686836,10126.6903653549,16026.0515865363,11587.9328961137,13089.1886195682,12726.2153851428,14291.0512238895,13253.7304464348,14082.1174012232
"RN7SL1",70.1374713582409,-314.953211366224,-305.995415382973,-462.20564487063,138.574940858269,-308.177919045853,-300.077363458617,-462.20564487063,-315.187441401706,-462.20564487063,-462.20564487063,-325.145770163879,-462.20564487063,-184.776836042318,-331.263404003654,-211.504308407712,-212.946413442134,-333.799602671277,-48.2443341408707,-318.160293821924,132.12754872752,-333.441426363999,-106.408253496087,-337.778671473681,65.06266942193,-237.096590316092,-296.871701903632,-85.2116922312289,-182.896984254696,-462.20564487063,-297.718340193611,-308.582110679588,-462.20564487063,-325.953060431008,-299.147766420789,-462.20564487063,-462.20564487063,-339.590757222148,-462.20564487063,-309.663306905293,-317.120303720158,-40.7913814283002,-328.415372255844,-462.20564487063,-150.984644789165,-462.20564487063,572.230264883536,280.634091157708,-331.128855625951,-319.452001969197,-297.304420854192,-329.183423800119,2.98285670080622,-175.305001861889,-462.20564487063,-344.510680969037,-462.20564487063
"CKM",14871.1248158958,15142.4314121321,11226.7245466503,13748.8157461146,15795.8983361614,13208.3639619327,14381.8221734533,11975.2210876538,9405.51807220987,10589.7329888478,9588.66520471552,10551.557541719,12455.1429435222,13489.7235726346,12621.8660974725,10337.5749411721,13531.7320855892,11725.5411613602,10765.5401422658,9517.02934839245,14042.3237118571,20734.3216800798,11980.5800382844,12859.4312287883,12829.8038854198,10112.4035643317,11991.8631996367,16097.6293022885,11453.6818899221,10634.9170208546,12772.7074604826,14584.6464102048,9898.73662876207,10643.4095434122,10754.9197704066,12814.3237531577,10585.5926483289,11260.2583657299,13816.5535170107,10717.2277821254,13964.8412493029,12313.5334489389,13846.2490264712,9577.61905466167,10689.9464214862,8819.73962978149,8224.62025167557,9755.69248794203,10502.5624671741,15306.2622011329,10844.6344833257,13235.175495654,10837.1445369026,8541.92678323798,10761.4700662155,16385.7038572528,13133.5840471698
