"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048667","cell morphogenesis involved in neuron differentiation","6/29","12/479",0.5,8.25862068965517,6.45792467895255,2.09006587697499e-05,0.00365761528470623,0.00322310158922985,"ACTB/ACTG1/MYOT/CFL1/EIF4G2/NEXN",6
"GO:0048812","neuron projection morphogenesis","6/29","12/479",0.5,8.25862068965517,6.45792467895255,2.09006587697499e-05,0.00365761528470623,0.00322310158922985,"ACTB/ACTG1/MYOT/CFL1/EIF4G2/NEXN",6
"GO:0048858","cell projection morphogenesis","6/29","12/479",0.5,8.25862068965517,6.45792467895255,2.09006587697499e-05,0.00365761528470623,0.00322310158922985,"ACTB/ACTG1/MYOT/CFL1/EIF4G2/NEXN",6
"GO:0120039","plasma membrane bounded cell projection morphogenesis","6/29","12/479",0.5,8.25862068965517,6.45792467895255,2.09006587697499e-05,0.00365761528470623,0.00322310158922985,"ACTB/ACTG1/MYOT/CFL1/EIF4G2/NEXN",6
"GO:0031175","neuron projection development","7/29","21/479",0.333333333333333,5.50574712643678,5.35488826318724,9.18127888890407e-05,0.0128537904444657,0.0113267987976795,"ACTB/ACTG1/RGS2/MYOT/CFL1/EIF4G2/NEXN",7
"GO:0030030","cell projection organization","8/29","30/479",0.266666666666667,4.40459770114943,4.88438567416919,0.000157158723156594,0.0157158723156594,0.0138488739503405,"ACTB/ACTG1/RGS2/MYOT/CFL1/HSP90AA1/EIF4G2/NEXN",8
"GO:0120036","plasma membrane bounded cell projection organization","8/29","30/479",0.266666666666667,4.40459770114943,4.88438567416919,0.000157158723156594,0.0157158723156594,0.0138488739503405,"ACTB/ACTG1/RGS2/MYOT/CFL1/HSP90AA1/EIF4G2/NEXN",8
"GO:0048699","generation of neurons","8/29","31/479",0.258064516129032,4.26251390433815,4.76322285921523,0.00020317571746984,0.017777875278611,0.0156659171628061,"ACTB/ACTG1/RGS2/MYOT/CFL1/HSP90AA1/EIF4G2/NEXN",8
"GO:0048666","neuron development","7/29","24/479",0.291666666666667,4.81752873563218,4.86618849604055,0.000240651499630288,0.0187173388601335,0.0164937752962981,"ACTB/ACTG1/RGS2/MYOT/CFL1/EIF4G2/NEXN",7
"GO:0000902","cell morphogenesis","6/29","18/479",0.333333333333333,5.50574712643678,4.94150563137771,0.000324610940398014,0.022722765827861,0.0200233695866565,"ACTB/ACTG1/MYOT/CFL1/EIF4G2/NEXN",6
"GO:0022008","neurogenesis","8/29","35/479",0.228571428571429,3.77536945812808,4.3248398715781,0.000512808297274216,0.0326332552810865,0.0287565226988221,"ACTB/ACTG1/RGS2/MYOT/CFL1/HSP90AA1/EIF4G2/NEXN",8
"GO:0008219","cell death","12/29","77/479",0.155844155844156,2.57411553963278,3.82362799524468,0.000681039609794291,0.0397273105713337,0.0350078255560925,"ACTB/MKNK2/HSP90AB1/SQSTM1/G0S2/HSPB1/PDK4/CFL1/SRGN/MNDA/HSP90AA1/EIF4G2",12
"GO:0045859","regulation of protein kinase activity","5/29","14/479",0.357142857142857,5.89901477832512,4.71794616857578,0.000783194978027027,0.0421720372783784,0.0371621260829018,"ACTB/RGS2/HSPB1/HSP90AA1/SYNPO2",5
"GO:0030182","neuron differentiation","7/29","29/479",0.241379310344828,3.98692033293698,4.20845872076609,0.000877185238721586,0.0438592619360793,0.0386489135256278,"ACTB/ACTG1/RGS2/MYOT/CFL1/EIF4G2/NEXN",7
